ts,open,high,low,close,volume,quoteVolume,trades
2026-08-09 03:45:00+00:00,64805.0,64805.0,64790.0,64790.01,1.991084,129015.17709334,0
2026-08-09 04:00:00+00:00,64790.01,64820.0,64790.0,64820.0,12.828392,831400.22321841,0
2026-08-09 04:15:00+00:00,64820.0,64830.0,64810.99,64830.0,2.049527,132846.36560321,0
2026-08-09 04:30:00+00:00,64830.0,64830.0,64810.0,64810.0,1.239967,80377.84628545,0
2026-08-09 04:45:00+00:00,64810.0,64810.01,64789.21,64789.22,2.591696,167952.33249477,0
2026-08-09 05:00:00+00:00,64789.22,64789.22,64789.0,64789.01,0.131684,8531.70035774,0
2026-08-09 05:15:00+00:00,64789.01,64794.69,64789.0,64789.05,7.317347,474101.98998239,0
2026-08-09 05:30:00+00:00,64789.05,64789.05,64785.0,64785.01,0.943603,61135.08059772,0
2026-08-09 05:45:00+00:00,64785.01,64799.34,64775.0,64799.33,11.41168,739349.05854534,0
2026-08-09 06:00:00+00:00,64799.33,64813.46,64799.33,64813.46,1.456261,94369.24650634,0
2026-08-09 06:15:00+00:00,64813.46,64847.39,64813.45,64842.56,12.569742,815011.26443799,0
2026-08-09 06:30:00+00:00,64842.56,64860.0,64842.56,64860.0,0.817798,53035.57488725,0
2026-08-09 06:45:00+00:00,64860.0,64864.42,64850.83,64850.84,11.86864,769782.07290151,0
2026-08-09 07:00:00+00:00,64850.84,64854.89,64850.0,64854.88,4.087911,265114.87862396,0
2026-08-09 07:15:00+00:00,64854.88,64854.89,64841.27,64844.89,15.381104,997444.284368,0
2026-08-09 07:30:00+00:00,64844.89,64844.89,64828.28,64834.67,29.063771,1884415.33939813,0
2026-08-09 07:45:00+00:00,64834.67,64842.17,64824.36,64827.7,23.217264,1505220.5696503,0
2026-08-09 08:00:00+00:00,64827.7,64938.84,64827.7,64921.14,25.627843,1663068.38681944,0
2026-08-09 08:15:00+00:00,64921.14,64934.79,64887.83,64887.83,16.504926,1071364.29180543,0
2026-08-09 08:30:00+00:00,64887.83,64900.0,64783.49,64791.44,7.568488,490891.51406918,0
2026-08-09 08:45:00+00:00,64791.44,64822.68,64791.44,64819.04,7.933338,514118.84383272,0
2026-08-09 09:00:00+00:00,64819.04,64830.0,64819.04,64826.39,2.460576,159508.10469389,0
2026-08-09 09:15:00+00:00,64826.39,64828.72,64811.0,64811.01,1.167798,75702.89361749,0
2026-08-09 09:30:00+00:00,64811.01,64819.42,64811.0,64818.49,1.486293,96330.27609355,0
2026-08-09 09:45:00+00:00,64818.49,64880.0,64813.23,64879.99,3.298023,213839.81610626,0
2026-08-09 10:00:00+00:00,64879.99,64954.85,64879.99,64954.84,1.941035,125997.42484203,0
2026-08-09 10:15:00+00:00,64954.84,64979.99,64945.0,64964.12,3.413157,221716.34610717,0
2026-08-09 10:30:00+00:00,64964.12,64975.0,64943.67,64943.67,4.763201,309378.44109236,0
2026-08-09 10:45:00+00:00,64943.67,64975.0,64943.67,64960.01,2.409363,156525.20312979,0
2026-08-09 11:00:00+00:00,64960.01,64984.99,64960.0,64977.91,2.226115,144631.61729768,0
2026-08-09 11:15:00+00:00,64977.91,64977.91,64974.83,64975.38,0.915883,59510.29763775,0
2026-08-09 11:30:00+00:00,64975.38,64995.0,64975.37,64990.23,1.133679,73674.23430784,0
2026-08-09 11:45:00+00:00,64990.23,65000.0,64950.0,64950.0,9.166443,595687.04228918,0
2026-08-09 12:00:00+00:00,64950.0,64950.01,64919.67,64940.0,3.673609,238543.07152117,0
2026-08-09 12:15:00+00:00,64940.0,64945.0,64939.99,64945.0,0.803733,52196.51724094,0
2026-08-09 12:30:00+00:00,64945.0,64945.0,64941.21,64941.21,0.526505,34192.41052442,0
2026-08-09 12:45:00+00:00,64941.21,64955.0,64941.21,64954.99,1.566615,101747.05970477,0
2026-08-09 13:00:00+00:00,64954.99,65040.0,64954.99,65020.0,40.967681,2663230.91258617,0
2026-08-09 13:15:00+00:00,65020.0,65095.0,65020.0,65090.2,5.889021,383058.96614423,0
2026-08-09 13:30:00+00:00,65090.2,65282.37,65090.2,65225.2,26.353697,1717750.41848482,0
2026-08-09 13:45:00+00:00,65225.2,65227.46,65197.03,65221.12,4.493608,293054.65708585,0
2026-08-09 14:00:00+00:00,65221.12,65243.39,65197.9,65240.0,5.387447,351397.41349476,0
2026-08-09 14:15:00+00:00,65240.0,65240.0,65165.0,65189.98,6.693502,436396.70033841,0
2026-08-09 14:30:00+00:00,65189.98,65225.0,65150.0,65170.0,6.578103,428834.95649587,0
2026-08-09 14:45:00+00:00,65170.0,65299.31,65169.99,65263.37,9.347326,610019.11412671,0
2026-08-09 15:00:00+00:00,65263.37,65266.54,65210.0,65245.93,13.427773,876114.82146101,0
2026-08-09 15:15:00+00:00,65245.93,65245.93,65230.0,65233.32,7.187316,468901.56770454,0
2026-08-09 15:30:00+00:00,65233.32,65239.06,65226.0,65226.0,3.339414,217837.59634982,0
2026-08-09 15:45:00+00:00,65226.0,65239.11,65225.39,65232.78,2.670161,174180.675057,0
2026-08-09 16:00:00+00:00,65232.78,65263.09,65219.64,65235.01,9.08607,592781.70754495,0
2026-08-09 16:15:00+00:00,65235.01,65244.15,65185.0,65199.99,4.02148,262224.77780974,0
2026-08-09 16:30:00+00:00,65199.99,65260.0,65199.99,65255.77,6.561658,427979.36318835,0
2026-08-09 16:45:00+00:00,65255.77,65256.77,65235.0,65235.01,0.867197,56578.14408463,0
2026-08-09 17:00:00+00:00,65235.01,65235.01,65222.52,65222.52,0.408398,26638.57839555,0
2026-08-09 17:15:00+00:00,65222.52,65235.0,65220.0,65235.0,0.908099,59232.47934858,0
2026-08-09 17:30:00+00:00,65235.0,65235.0,65226.59,65229.25,1.719571,112164.99167489,0
2026-08-09 17:45:00+00:00,65229.25,65229.25,65196.95,65196.96,2.31414,150889.03734545,0
2026-08-09 18:00:00+00:00,65196.96,65226.35,65196.95,65208.1,10.937854,713310.86837819,0
2026-08-09 18:15:00+00:00,65208.1,65217.86,65191.48,65217.85,4.378972,285511.34734312,0
2026-08-09 18:30:00+00:00,65217.85,65223.63,65209.7,65219.79,8.291426,540732.55176704,0
2026-08-09 18:45:00+00:00,65219.79,65219.8,65195.01,65195.01,2.18558,142522.51866272,0
2026-08-09 19:00:00+00:00,65195.01,65197.97,65189.0,65197.43,1.554349,101336.33281831,0
2026-08-09 19:15:00+00:00,65197.43,65210.0,65197.43,65210.0,0.469239,30597.54270983,0
2026-08-09 19:30:00+00:00,65210.0,65210.0,65200.0,65200.01,1.478208,96383.15523192,0
2026-08-09 19:45:00+00:00,65200.01,65200.01,65177.15,65182.63,4.476364,291804.55395932,0
2026-08-09 20:00:00+00:00,65182.63,65190.1,65071.11,65074.01,8.076116,525906.64069353,0
2026-08-09 20:15:00+00:00,65074.01,65150.0,65074.0,65127.05,6.947851,452400.33206073,0
2026-08-09 20:30:00+00:00,65127.05,65164.99,65127.04,65140.62,4.003334,260795.30167074,0
2026-08-09 20:45:00+00:00,65140.62,65140.62,65125.0,65138.71,1.155672,75274.76241608,0
2026-08-09 21:00:00+00:00,65138.71,65138.72,65125.5,65127.76,4.039351,263087.988081,0
2026-08-09 21:15:00+00:00,65127.76,65145.0,65121.0,65141.21,4.028752,262430.63379267,0
2026-08-09 21:30:00+00:00,65141.21,65250.0,65141.2,65226.04,13.475117,878616.42419158,0
2026-08-09 21:45:00+00:00,65226.04,65227.03,65185.0,65194.82,2.759023,179901.64734314,0
2026-08-09 22:00:00+00:00,65194.82,65487.59,65194.82,65407.76,58.636013,3834152.47045748,0
2026-08-09 22:15:00+00:00,65407.76,65439.99,65214.04,65230.14,14.29608,933785.58462037,0
2026-08-09 22:30:00+00:00,65230.14,65249.9,64985.0,65035.0,23.960802,1558742.37632253,0
2026-08-09 22:45:00+00:00,65035.0,65100.0,64972.97,65080.0,7.458422,485087.06403922,0
2026-08-09 23:00:00+00:00,65080.0,65108.08,64986.2,65020.01,10.929331,710971.27756294,0
2026-08-09 23:15:00+00:00,65020.01,65050.0,64900.0,64916.1,8.996514,584547.31519368,0
2026-08-09 23:30:00+00:00,64916.1,64940.0,64850.01,64898.94,34.780439,2257092.35514275,0
2026-08-09 23:45:00+00:00,64898.94,64927.46,64840.01,64898.06,12.653298,821041.61618724,0
2026-08-10 00:00:00+00:00,64898.06,65329.22,64847.32,65145.0,43.658467,2843307.50636457,0
2026-08-10 00:15:00+00:00,65145.0,65169.99,64980.01,65005.0,16.230259,1056119.43077996,0
2026-08-10 00:30:00+00:00,65005.0,65045.0,64825.0,64839.99,19.683712,1278163.21394828,0
2026-08-10 00:45:00+00:00,64839.99,65040.84,64839.99,64969.96,13.462852,874340.04388828,0
2026-08-10 01:00:00+00:00,64969.96,65030.0,64901.41,65000.0,12.999267,844733.73762512,0
2026-08-10 01:15:00+00:00,65000.0,65070.0,65000.0,65006.0,6.696393,435514.6224518,0
2026-08-10 01:30:00+00:00,65006.0,65010.0,64900.0,64970.0,10.654324,692066.58383973,0
2026-08-10 01:45:00+00:00,64970.0,65390.0,64970.0,65191.84,25.270809,1648918.61422612,0
2026-08-10 02:00:00+00:00,65191.84,65205.0,65080.0,65105.35,9.63541,627549.98904799,0
2026-08-10 02:15:00+00:00,65105.35,65105.35,64906.77,64962.02,13.862119,900606.31995552,0
2026-08-10 02:30:00+00:00,64962.02,65224.99,64962.01,65205.0,9.312221,605933.43824262,0
2026-08-10 02:45:00+00:00,65205.0,65205.0,65085.0,65105.0,4.69953,306074.86261454,0
2026-08-10 03:00:00+00:00,65105.0,65109.86,64965.0,64965.0,9.109452,592387.17706933,0
2026-08-10 03:15:00+00:00,64965.0,65173.36,64906.77,65030.0,13.858084,901538.56989046,0
2026-08-10 03:30:00+00:00,65030.0,65095.0,65002.35,65025.0,17.948817,1167722.47704231,0
2026-08-10 03:45:00+00:00,65025.0,65058.95,64956.96,64981.97,4.505342,292849.90007964,0
2026-08-10 04:00:00+00:00,64981.97,65075.0,64960.01,65074.99,14.636626,951883.59457434,0
2026-08-10 04:15:00+00:00,65074.99,65105.0,65033.0,65033.01,5.694309,370545.98023162,0
2026-08-10 04:30:00+00:00,65033.01,65040.0,64925.01,65009.7,9.723969,631927.30274901,0
2026-08-10 04:45:00+00:00,65009.7,65055.0,64985.0,65009.99,7.550504,490970.56952269,0
2026-08-10 05:00:00+00:00,65009.99,65059.0,64985.0,64990.11,4.761099,309553.07597116,0
2026-08-10 05:15:00+00:00,64990.11,65068.61,64990.11,65045.04,7.317781,475871.95743967,0
2026-08-10 05:30:00+00:00,65045.04,65090.0,65030.0,65084.06,7.524064,489477.42395276,0
