sleeve,entry_ts,exit_ts,entry,exit,reason,pnl,ret_pct,hold_bars,date_sgt
MAIN_4H_RANGE,2026-07-08 02:30:00+00:00,2026-07-08 06:30:00+00:00,62854.2,62513.6,TIME,-51.2233819176176,-0.6615638732176983,16,2026-07-08
SG_FILTERED_RANGE,2026-07-08 05:45:00+00:00,2026-07-08 07:45:00+00:00,62590.0,62854.1,SELL_RANGE,9.117986617395182,0.3016992171273344,8,2026-07-08
MAIN_4H_RANGE,2026-07-08 09:15:00+00:00,2026-07-08 13:15:00+00:00,61855.8,61806.6,TIME,-15.344088182769102,-0.19949210906657802,16,2026-07-08
MAIN_4H_RANGE,2026-07-13 02:15:00+00:00,2026-07-13 06:15:00+00:00,63382.4,62810.0,TIME,-78.49322398894273,-1.022547962841422,16,2026-07-13
MAIN_4H_RANGE,2026-07-13 18:00:00+00:00,2026-07-13 22:00:00+00:00,61877.1,62151.2,TIME,24.518758059844338,0.32270907977264374,16,2026-07-14
MAIN_4H_RANGE,2026-07-16 08:15:00+00:00,2026-07-16 11:45:00+00:00,63914.1,64226.6,SELL_RANGE,28.099129592039837,0.3686441332976605,14,2026-07-16
MAIN_4H_RANGE,2026-07-17 08:00:00+00:00,2026-07-17 09:45:00+00:00,62792.8,62962.2,SELL_RANGE,11.446047719474569,0.14961428698830787,7,2026-07-17
MAIN_4H_RANGE,2026-07-20 07:00:00+00:00,2026-07-20 09:30:00+00:00,63890.0,64210.5,SELL_RANGE,29.217724419955847,0.38134246360932855,10,2026-07-20
MAIN_4H_RANGE,2026-07-23 15:30:00+00:00,2026-07-23 19:30:00+00:00,64844.0,64731.5,TIME,-22.564577886974547,-0.2933892110295478,16,2026-07-24
MAIN_4H_RANGE,2026-07-24 14:15:00+00:00,2026-07-24 18:00:00+00:00,63950.0,64183.8,SELL_RANGE,18.81674996504259,0.24537876465989508,15,2026-07-25
MAIN_4H_RANGE,2026-07-27 15:45:00+00:00,2026-07-27 19:00:00+00:00,64546.4,64950.0,SELL_RANGE,38.813822866600894,0.5049114435506837,13,2026-07-28
MAIN_4H_RANGE,2026-07-27 23:00:00+00:00,2026-07-28 03:00:00+00:00,63755.5,63238.3,TIME,-71.90915570394004,-0.930737395205115,16,2026-07-28
MAIN_4H_RANGE,2026-07-29 17:30:00+00:00,2026-07-29 18:45:00+00:00,63738.2,64484.5,SELL_RANGE,80.38265522185014,1.0501808648502828,5,2026-07-30
MAIN_4H_RANGE,2026-07-29 20:00:00+00:00,2026-07-29 23:30:00+00:00,63564.0,63982.4,SELL_RANGE,41.59920168289359,0.5378392800956538,14,2026-07-30
MAIN_4H_RANGE,2026-07-31 02:45:00+00:00,2026-07-31 06:15:00+00:00,64200.9,64432.4,SELL_RANGE,18.69139140255854,0.24037049324853701,14,2026-07-31
SG_FILTERED_RANGE,2026-07-31 05:45:00+00:00,2026-07-31 06:15:00+00:00,64260.3,64432.4,SELL_RANGE,4.475938322877898,0.147656297900879,2,2026-07-31
MAIN_4H_RANGE,2026-07-31 14:30:00+00:00,2026-07-31 18:00:00+00:00,62623.9,63116.6,SELL_RANGE,51.93552512612596,0.6662882701332832,14,2026-08-01
