date,btc_close,regime,donchian,best_funding_venue,best_funding_apy_7d,ann_basis,vol_14d,alloc_btc,alloc_funding,alloc_basis,alloc_yield,alloc_cash,expected_apy,expected_daily
2026-06-28,59577.01,CHOP_LOW_VOL,HOLD,binance,0.01595806071428571,0.035506271630617266,0.27082499449450026,0,0,0,0,100,0.045,1.2328767123287672
2026-06-29,59968.0,CHOP_LOW_VOL,HOLD,binance,0.0151,0.0312,0.2576,0,0,0,0,100,0.045,1.23
2026-06-29,59951.99,CHOP_LOW_VOL,HOLD,binance,0.0151,0.0299,0.2572,0,0,0,0,100,0.0450,1.23
2026-06-29,60272.00,CHOP_LOW_VOL,HOLD,binance,0.0166,0.0316,0.2657,0,0,0,0,100,0.0450,1.23
2026-06-29,59191.41,CHOP_LOW_VOL,HOLD,binance,0.0166,0.0176,0.2474,0,0,0,0,100,0.0450,1.23
2026-06-30,59314.01,CHOP_LOW_VOL,HOLD,binance,0.0199,0.0350,0.2687,0,0,0,0,100,0.0450,1.23
2026-06-30,59312.61,CHOP_LOW_VOL,HOLD,binance,0.0199,0.0325,0.2687,0,0,0,0,100,0.0450,1.23
2026-06-30,59229.30,CHOP_LOW_VOL,HOLD,binance,0.0199,0.0338,0.2700,0,0,8,0,92,0.0441,1.21
2026-06-30,59253.38,CHOP_LOW_VOL,HOLD,binance,0.0199,0.0333,0.2696,0,0,0,0,100,0.0450,1.23
2026-06-30,58838.49,CHOP_LOW_VOL,HOLD,binance,0.0199,0.0331,0.2779,0,0,0,0,100,0.0450,1.23
2026-06-30,58634.33,CHOP_LOW_VOL,HOLD,binance,0.0199,0.0347,0.2834,0,0,0,0,100,0.0450,1.23
2026-06-30,58968.01,CHOP_LOW_VOL,HOLD,binance,0.0199,0.0343,0.2749,0,0,0,0,100,0.0450,1.23
2026-07-01,59146.00,CHOP_LOW_VOL,HOLD,binance,0.0221,0.0323,0.2899,0,0,0,0,100,0.0450,1.23
2026-07-01,59321.29,CHOP_LOW_VOL,HOLD,binance,0.0221,0.0338,0.2943,0,0,0,0,100,0.0450,1.23
2026-07-03,61519.10,CHOP_LOW_VOL,HOLD,binance,0.0304,0.0355,0.3291,0,0,0,0,100,0.0450,1.23
2026-07-03,61460.75,CHOP_LOW_VOL,HOLD,binance,0.0304,0.0348,0.3290,0,0,0,30,70,0.0609,1.67
2026-07-03,61343.19,CHOP_LOW_VOL,HOLD,binance,0.0304,0.0345,0.3291,0,0,0,30,70,0.0609,1.67
2026-07-10,64410.13,CHOP_LOW_VOL,HOLD,binance,0.0400,0.0355,0.2899,0,0,0,30,70,0.0587,1.61
2026-07-10,64314.21,CHOP_LOW_VOL,HOLD,binance,0.0400,0.0349,0.2882,0,0,0,30,70,0.0587,1.61
2026-07-29,64509.85,CHOP_LOW_VOL,HOLD,binance,0.0274,0.0398,0.2482,0,0,0,30,70,0.0612,1.68
2026-07-29,64660.00,CHOP_LOW_VOL,HOLD,binance,0.0274,0.0000,0.2508,0,0,0,30,70,0.0612,1.68
2026-07-29,64313.99,CHOP_LOW_VOL,HOLD,binance,0.0274,0.0449,0.2456,0,0,15,30,55,0.0612,1.68
2026-07-30,64070.81,CHOP_LOW_VOL,HOLD,binance,0.0302,0.0422,0.2325,0,0,15,30,55,0.0608,1.67
2026-07-30,64115.76,CHOP_LOW_VOL,HOLD,binance,0.0302,0.0405,0.2326,0,0,15,30,55,0.0606,1.66
2026-07-30,64602.90,CHOP_LOW_VOL,HOLD,binance,0.0321,0.0385,0.2370,0,0,0,30,70,0.0613,1.68
2026-07-30,64739.99,CHOP_LOW_VOL,HOLD,binance,0.0321,0.0388,0.2393,0,0,0,30,70,0.0613,1.68
2026-07-31,64802.01,CHOP_LOW_VOL,HOLD,binance,0.0328,0.0385,0.2400,0,0,0,30,70,0.0613,1.68
2026-07-31,64289.99,CHOP_LOW_VOL,HOLD,binance,0.0328,0.0400,0.2438,0,0,0,30,70,0.0612,1.68
2026-07-31,63906.00,CHOP_LOW_VOL,HOLD,binance,0.0339,0.0413,0.2505,0,0,15,30,55,0.0607,1.66
2026-07-31,62658.00,CHOP_LOW_VOL,HOLD,binance,0.0339,0.0314,0.2922,0,0,0,30,70,0.0603,1.65
2026-08-01,62963.55,CHOP_LOW_VOL,HOLD,binance,0.0334,0.0420,0.2714,0,0,15,30,55,0.0599,1.64
2026-08-01,63104.77,CHOP_LOW_VOL,HOLD,binance,0.0334,0.0404,0.2723,0,0,15,30,55,0.0596,1.63
2026-08-01,62986.32,CHOP_LOW_VOL,HOLD,binance,0.0328,0.0380,0.2715,0,0,0,30,70,0.0603,1.65
2026-08-01,63120.63,CHOP_LOW_VOL,HOLD,binance,0.0328,0.0420,0.2724,0,0,15,30,55,0.0595,1.63
2026-08-02,62923.94,CHOP_LOW_VOL,HOLD,binance,0.0337,0.0000,0.2716,0,0,0,30,70,0.0599,1.64
2026-08-02,63510.02,CHOP_LOW_VOL,HOLD,binance,0.0337,0.0418,0.2785,0,0,15,30,55,0.0594,1.63
2026-08-02,63213.58,CHOP_LOW_VOL,HOLD,binance,0.0345,0.0000,0.2741,0,0,0,30,70,0.0599,1.64
2026-08-02,63115.04,CHOP_LOW_VOL,HOLD,binance,0.0345,0.0397,0.2730,0,0,0,30,70,0.0600,1.64
2026-08-03,63387.80,CHOP_LOW_VOL,HOLD,binance,0.0360,0.0435,0.2752,0,0,15,30,55,0.0597,1.64
2026-08-03,62972.72,CHOP_LOW_VOL,HOLD,binance,0.0360,0.0401,0.2776,0,0,15,30,55,0.0593,1.62
2026-08-03,62786.00,CHOP_LOW_VOL,HOLD,binance,0.0360,0.0403,0.2799,0,0,15,30,55,0.0593,1.62
2026-08-03,63326.01,CHOP_LOW_VOL,HOLD,binance,0.0360,0.0413,0.2753,0,0,15,30,55,0.0594,1.63
